site_data,species_data
836B_2013,836_2013
OG-ABMI-1015-11_2014,OG-ABMI-1015-1_2014
OG-ABMI-1028-11_2014,OG-ABMI-1028-1_2014
OG-ABMI-1054-11_2014,OG-ABMI-1054-1_2011
OG-ABMI-1057-11_2014,OG-ABMI-1057-1_2014
OG-ABMI-1085-11_2014,OG-ABMI-1085-1_2014
OG-ABMI-1122-11_2014,OG-ABMI-1122-2_2014
OG-ABMI-1126-11_2014,OG-ABMI-1126-1_2014
OG-ABMI-1183-11_2014,OG-ABMI-1183-1_2014
OG-ABMI-1190-11_2014,OG-ABMI-1190-2_2014
OG-ABMI-1254-11_2014,OG-ABMI-1254-1_2014
OG-ABMI-1279-11_2014,OG-ABMI-1279-1_2014
OG-ABMI-1331-11_2014,OG-ABMI-1331-2_2014
OG-ABMI-1427-11_2014,OG-ABMI-1427-1_2014
OG-ABMI-992-11_2014,OG-ABMI-992-1_2014
