Class_Fine,Class_Coarse,Class_Use
BdL,BdL,RapidDrain
BlO,BlO,Saline
CS,CS,RapidDrain
Cy,Cy,Clay
Gr,Gr,RapidDrain
Len,Len,Productive
LenA,LenA,Saline
LenS,LenS,Productive
LenSP,LenSP,Productive
LenT,LenT,Productive
LenW,LenW,Productive
Li,Li,Productive
Lo,Lo,Productive
Ltc,Ltc,Productive
LtcC,LtcC,Productive
LtcD,LtcD,Productive
LtcH,LtcH,Productive
LtcS,LtcS,Productive
LtcR,LtcR,Productive
Ov,Ov,Saline
Sa,Sa,RapidDrain
Sb,Sb,Productive
SL,SL,Saline
SwG,SwG,RapidDrain
Sy,Sy,Productive
TB,TB,RapidDrain
UNK,UNK,SoilUnknown
Water,Water,Water
Cool_slopes,Cool_slopes,Cool_slopes
Dry,Dry,Dry
Dunes,Dunes,Dunes
Mesic,Mesic,Mesic
Sloped_mesic,Sloped_mesic,Sloped_mesic
Sloped_wet,Sloped_wet,Sloped_wet
Warm_slopes,Warm_slopes,Warm_slopes
Wet,Wet,Wet
BorrowpitsDugoutsSumps,BorrowpitsDugoutsSumps,Water
Canals,Canals,Water
CultivationAbandoned,CultivationAbandoned,RoughP
CultivationCrop,CultivationCrop,Crop
CultivationRoughPasture,CultivationRoughPasture,RoughP
CultivationTamePasture,CultivationTamePasture,TameP
CutBlocks,CutBlocks,HFor
HighDensityLivestockOperation,HighDensityLivestockOperation,TameP
IndustrialSiteRural,IndustrialSiteRural,UrbInd
MineSite,MineSite,UrbInd
MunicipalWaterSewage,MunicipalWaterSewage,Water
OtherDisturbedVegetation,OtherDisturbedVegetation,UrbInd
PeatMine,PeatMine,UrbInd
Pipeline,Pipeline,SoftLin
RailHardSurface,RailHardSurface,HardLin
RailVegetatedVerge,RailVegetatedVerge,SoftLin
Reservoirs,Reservoirs,Water
RoadHardSurface,RoadHardSurface,HardLin
RoadTrailVegetated,RoadTrailVegetated,SoftLin
RoadVegetatedVerge,RoadVegetatedVerge,SoftLin
RuralResidentialIndustrial,RuralResidentialIndustrial,UrbInd
SeismicLineNarrow,SeismicLineNarrow,SoftLin
SeismicLineWide,SeismicLineWide,SoftLin
TransmissionLine,TransmissionLine,SoftLin
UrbanIndustrial,UrbanIndustrial,UrbInd
UrbanResidence,UrbanResidence,UrbInd
WellSite,WellSite,UrbInd
WindGenerationFacility,WindGenerationFacility,UrbInd
BORROWPIT-DRY,BorrowpitsDugoutsSumps,Water
BORROWPITS,BorrowpitsDugoutsSumps,Water
BORROWPIT-WET,BorrowpitsDugoutsSumps,Water
DUGOUT,BorrowpitsDugoutsSumps,Water
RIS-BORROWPITS,BorrowpitsDugoutsSumps,Water
SUMP,BorrowpitsDugoutsSumps,Water
CANAL,Canals,Water
CROP,CultivationCrop,Crop
CULTIVATION_ABANDONED,CultivationAbandoned,RoughP
ROUGH_PASTURE,CultivationRoughPasture,RoughP
TAME_PASTURE,CultivationTamePasture,TameP
AGRICULTURE_DISTURB_VEG,CultivationAbandoned,RoughP
CUTBLOCK,CutBlocks,HFor
CFO,HighDensityLivestockOperation,TameP
CAMP-INDUSTRIAL,IndustrialSiteRural,UrbInd
FACILITY-OTHER,IndustrialSiteRural,UrbInd
FACILITY-UNKNOWN,IndustrialSiteRural,UrbInd
MILL,IndustrialSiteRural,UrbInd
MISC-OIL-GAS-FACILITY,IndustrialSiteRural,UrbInd
OIL-GAS-PLANT,IndustrialSiteRural,UrbInd
RIS-CAMP-INDUSTRIAL,IndustrialSiteRural,UrbInd
RIS-FACILITY-OPERATIONS,IndustrialSiteRural,UrbInd
RIS-FACILITY-UNKNOWN,IndustrialSiteRural,UrbInd
RIS-PLANT,IndustrialSiteRural,UrbInd
RIS-TANK-FARM,IndustrialSiteRural,UrbInd
RIS-UTILITIES,IndustrialSiteRural,UrbInd
GRVL-SAND-PIT,MineSite,UrbInd
