sppid,species,scinam,dataname,Rank,Occurrences,nSites,UseAvailability.North,Analysis.North,UseAvailability.South,Analysis.South,Maps,Origin
AbiesBalsamea,Abies balsamea,Abies balsamea,Abies.balsamea,Species,368,136,TRUE,TRUE,FALSE,FALSE,TRUE,Native
AbiesBifolia,Abies bifolia,Abies bifolia,Abies.bifolia,Species,56,18,TRUE,FALSE,FALSE,FALSE,FALSE,Native
Acer,Acer,Acer,Acer,Genus,6,2,FALSE,FALSE,FALSE,FALSE,FALSE,NA
AcerNegundo,Acer negundo,Acer negundo,Acer.negundo,Species,25,13,TRUE,FALSE,TRUE,FALSE,FALSE,Native
AchilleaAlpina,Achillea alpina,Achillea alpina,Achillea.alpina,Species,274,136,TRUE,TRUE,TRUE,FALSE,TRUE,Native
AchilleaMillefolium,Achillea millefolium,Achillea millefolium,Achillea.millefolium,Species,2827,932,TRUE,TRUE,TRUE,TRUE,TRUE,Native
AchilleaPtarmica,Achillea ptarmica,Achillea ptarmica,Achillea.ptarmica,Species,1,1,FALSE,FALSE,FALSE,FALSE,FALSE,Exotic
AchnatherumHymenoides,Achnatherum hymenoides,Achnatherum hymenoides,Achnatherum.hymenoides,Species,5,3,FALSE,FALSE,FALSE,FALSE,FALSE,Native
AchnatherumNelsonii,Achnatherum nelsonii,Achnatherum nelsonii,Achnatherum.nelsonii,Species,2,1,FALSE,FALSE,FALSE,FALSE,FALSE,Native
AcorusAmericanus,Acorus americanus,Acorus americanus,Acorus.americanus,Species,6,2,FALSE,FALSE,FALSE,FALSE,FALSE,Native
ActaeaRubra,Actaea rubra,Actaea rubra,Actaea.rubra,Species,1021,410,TRUE,TRUE,TRUE,TRUE,TRUE,Native
AdoxaMoschatellina,Adoxa moschatellina,Adoxa moschatellina,Adoxa.moschatellina,Species,112,55,TRUE,TRUE,FALSE,FALSE,TRUE,Native
AegopodiumPodagraria,Aegopodium.podagraria,Aegopodium.podagraria,Aegopodium.podagraria,Species,1,1,FALSE,FALSE,FALSE,FALSE,FALSE,Exotic
AgastacheFoeniculum,Agastache foeniculum,Agastache foeniculum,Agastache.foeniculum,Species,21,15,TRUE,FALSE,TRUE,FALSE,FALSE,Native
Agoseris,Agoseris,Agoseris,Agoseris,Genus,11,4,FALSE,FALSE,TRUE,FALSE,FALSE,Native
AgoserisGlauca,Agoseris glauca,Agoseris glauca,Agoseris.glauca,Species,144,66,TRUE,FALSE,TRUE,TRUE,TRUE,Native
AgrimoniaStriata,Agrimonia striata,Agrimonia striata,Agrimonia.striata,Species,109,45,TRUE,FALSE,TRUE,TRUE,TRUE,Native
AgroelymusBowdenii,Agroelymus bowdenii,Agroelymus bowdenii,Agroelymus.bowdenii,Species,1,1,FALSE,FALSE,FALSE,FALSE,FALSE,Native
Agropyron,Agropyron,Agropyron,Agropyron,Genus,36,14,TRUE,FALSE,TRUE,FALSE,FALSE,Exotic
AgropyronCristatum,Agropyron fragile/cristatum,Agropyron fragile/cristatum,Agropyron.fragile.cristatum,Species,424,160,TRUE,FALSE,TRUE,TRUE,TRUE,Exotic
Agrostis,Agrostis,Agrostis,Agrostis,Genus,3,3,FALSE,FALSE,FALSE,FALSE,FALSE,NA
AgrostisScabra,Agrostis scabra,Agrostis scabra,Agrostis.scabra,Species,709,290,TRUE,TRUE,TRUE,TRUE,TRUE,Native
AgrostisStolonifera,Agrostis stolonifera,Agrostis stolonifera,Agrostis.stolonifera,Species,27,12,TRUE,FALSE,TRUE,FALSE,FALSE,Exotic
AlismaTriviale,Alisma triviale,Alisma triviale,Alisma.triviale,Species,28,14,TRUE,FALSE,TRUE,FALSE,FALSE,Native
AlliumCernuum,Allium cernuum,Allium cernuum,Allium.cernuum,Species,31,17,TRUE,FALSE,TRUE,FALSE,FALSE,Native
AlliumSchoenoprasum,Allium schoenoprasum,Allium schoenoprasum,Allium.schoenoprasum,Species,5,3,FALSE,FALSE,FALSE,FALSE,FALSE,Native
AlliumTextile,Allium textile,Allium textile,Allium.textile,Species,55,24,FALSE,FALSE,TRUE,FALSE,FALSE,Native
AlnusIncana,Alnus incana,Alnus incana,Alnus.incana,Species,729,272,TRUE,TRUE,TRUE,FALSE,TRUE,Native
AlnusViridis,Alnus viridis,Alnus viridis,Alnus.viridis,Species,1069,360,TRUE,TRUE,TRUE,FALSE,TRUE,Native
Alopecurus,Alopecurus,Alopecurus,Alopecurus,Genus,4,1,FALSE,FALSE,FALSE,FALSE,FALSE,NA
AlopecurusAequalis,Alopecurus aequalis,Alopecurus aequalis,Alopecurus.aequalis,Species,122,59,TRUE,TRUE,TRUE,FALSE,TRUE,Native
AlopecurusArundinaceus,Alopecurus arundinaceus/pratensis,Alopecurus arundinaceus/pratensis,Alopecurus.arundinaceus.pratensis,Species,11,4,TRUE,FALSE,FALSE,FALSE,FALSE,Exotic
